PRODUCTO ;PRECIO ;FOTO;CATEGORIA
VINO FRONT BLANCO 750 ml;53000;;VINO
VINO GAT NEG  MERL 750ml;52000;https://licoresmedellin.com/cdn/shop/files/VINO_GATO_NEGRO_MERLOT_BOTELLA_750ML.jpg?v=1710512036&width=480;VINO
VINO GAT NEG BLANCO 750ml;52000;;VINO
VINO GAT NEG CAB. SAUVIG. 750ml;52000;;VINO
VINO GAT CABER. SAUV. 375 ml;29000;;VINO
VINO  ESPUMO. PETERLO BLANCA 750ML;44000;;VINO
VINO ESPUMO. PETERLO ROSE 750ML;44000;;VINO
VINO MANICHEWITS GRAPE 750 ML;72000;;VINO
VINO CASILLERO MERLOT 750ML;76000;;VINO
VINO CASILLERO CABER 750ML;76000;;VINO
VINO CASILLERO CARMENE. 750ML;76000;;VINO
VINO CASILLERO BLANCO 750ML;76000;;VINO
CHAMPAGNE CHENET ROSADA 750ML;83000;https://exitocol.vtexassets.com/arquivos/ids/26656122/Vino-Espumoso-Rose-Ice-Edition-X-750-ml-945437_a.jpg?v=638739782300000000;CHAMPAGNE
CHAMPAGNE CHENET BLANCA 750ML;83000;;CHAMPAGNE
CHAMPAGNE MOET CHANDON ICE IMPERIAL ;600000;https://kyva.co/wp-content/uploads/2020/08/MOET-IMPERIAL.jpg;CHAMPAGNE
CHAMPAGNE MOET BRUT IMPERIAL 750;500000;;CHAMPAGNE
VODKA ABSOLUT 700ml;115000;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzSE8tYfPzSCK27OK-rjIg-1-P0hocsGp1AA&s;VODKA
VODKA ABSOLUT 350ml;69000;;VODKA
VODKA ABSOLUT 50ml;10000;;VODKA
VODKA ABSOLUT MANDRIN 750ml;123000;;VODKA
VODKA ABSOLUT CITRON 750ml;123000;;VODKA
VODKA ABSOLUT RASPBERRI 750ml;123000;;VODKA
VODKA ABSOLUT VAINILLA 750ml;123000;;VODKA
VODKA SMIRN GREEN APPLE 275 ml;10500;https://pacardylwpmedia.s3.us-east-2.amazonaws.com/wp-content/uploads/2022/09/09150611/5410316948999.jpg;VODKA
VODKA SMIRN ICE ORIGINAL 275 ml;10500;;VODKA
VODKA SMIRNOFF 750 ML;110000;;VODKA
LATA VODKA SMIRN ICE ;9500;;VODKA
LATA VODKA SMIRN APPLE ;9500;;VODKA
